timestamp,scrapeid,type,rank,title,source,publishedDate,timeSince,description,url,,,,,,,,
5/15/2018 10:04,0,Top Trends,10,Devastating tornado hit 50 years ago today: special…,Region 8 News,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.kait8.com%2Fstory%2F38190795%2Fdevastating-tornado-hit-50-years-ago-today-special-report-preview-on-gmr8&h=ATMXejdhz3_j9-SrBT-ukN7clamZjabUvlth4GihLGor5Phl5l4Yb1HHIG7IineofQUYkb,,,,,,,,
5/15/2018 10:04,0,Top Trends,6,Uber driver caught in the crosshairs of Depot…,KCBD NewsChannel 11,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.kcbd.com%2Fstory%2F38189121%2Fuber-driver-caught-in-the-crosshairs-of-depot-district-shooting&h=ATOcszM8vHNRW_EXryQBjLJIeNcN5wwMwerxg3JZdntnue-R1WuwNRqVAjdO1Bp7oDXoXzKuvRFri5LwI,,,,,,,,
5/15/2018 10:04,0,Top Trends,8,"Man accused of robbing child, shooting at child's…",KSLA News 12,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ksla.com%2Fstory%2F38191397%2Fman-accused-of-robbing-child-shooting-at-childs-mother&h=ATO68vsReYPnajeUHASangPaeB7AKJnauU61VRXQAKNTi771Kk-Hkk7wyi6sxT799IFay8MXQMacc9D56WpRUnGjC-,,,,,,,,
5/15/2018 10:04,0,Top Trends,7,Facebook Suspends 200 Apps In Data Misuse Probe,KOTV - News On 6,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.newson6.com%2Fstory%2F38190701%2Ffacebook-suspends-200-apps-in-data-misuse-probe&h=ATPZRkZkxPdvkM89RL8lKCjTXWuNQFFzKbqhgy6o2Us4NY2xVgfeFsrFOoHhCZEM82JXUyhZTlCVvJqeOKyg3MRb30l0kM,,,,,,,,
5/15/2018 10:04,0,Top Trends,7,"This monster"" black hole grows faster than any…""",Newsweek,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.newsweek.com%2Fblack-holes-astronomy-sun-926106&h=ATNJIleZJPTs49erW4m6jXOKYjea9_0PSliSi34dfoxF_dvYv89dokI-u5K8LCOsO1bi7LgEzRXiwxLpCaD5ZevP5ULIrpAqzl05dU3ttRIsRvaKpvmw7A,,,,,,,,
5/15/2018 10:04,0,Top Trends,9,Trump makes Swiss cheese of 'America-first' doctrine,NJ.com,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.nj.com%2Fopinion%2Findex.ssf%2F2018%2F05%2Fdonald_trump_makes_swiss_cheese_of_america-first_d.html&h=ATNGkFXMz4Tq9fCJAq2MbsQVN7f1b1gnfy4gilH9V9PGj7sJgeFeh5nifry2FNP_xYaFcXj4Ckd1,,,,,,,,
5/15/2018 10:04,0,Top Trends,7,"Microsoft is launching a new version of its $22,000…",www.thisisinsider.com,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.thisisinsider.com%2Fmicrosoft-surface-hub-2-price-details-availability-2018-5&h=ATPm7qb-5mOkQ62kKOxBH-vxiwvnRxtGumzh_zeJig-fctUeN058w-U5pu_eE69r8Vpo838O2y-8-9uWa3N8_omC6u8HlEMKU,,,,,,,,
5/15/2018 10:04,0,Top Trends,10,Semi overturned near exit 11 near State Rd 46,WTHI-TV,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.wthitv.com%2Fcontent%2Fnews%2FSemi-overturned-near-exit-11-near-State-Rd-46-482649371.html&h=ATPJTLBmQUpDWUJzVIDjfa493iLNYy9aAPId2UfWxuwVaMLO3VQc-Pmbp7XLJ23nCfO6voRhyPW-nd2FtCeY,,,,,,,,
5/15/2018 10:04,0,Top Trends,5,Fastest growing black hole discovered,Yahoo News,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fau.news.yahoo.com%2Ffastest-growing-black-hole-discovered-091019431.html&h=ATN4XwXHqjHuAtjr-QUAJ4FvGJm4U7nLy3eCmS5C24fKfbrSf4TPt9E1owxfA3PJqe9HGVjJpRN8MwIup7zpX2ZImxJRU14XMJGpygbJZ,,,,,,,,
5/15/2018 10:04,0,Top Trends,9,"In India, Facebook’s Whatsapp plays central…",Indiatimes,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Feconomictimes.indiatimes.com%2Ftech%2Finternet%2Fin-india-facebooks-whatsapp-plays-central-role-in-elections%2Farticleshow%2F64175605.cms&h=ATMdwpmr2AxPLyAJ5ySUy4lSbsxCZOjjHJ7bVMpp,,,,,,,,
5/15/2018 10:04,0,Top Trends,10,'People You May Know' is the perfect demonstration…,Mashable,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fmashable.com%2F2018%2F05%2F15%2Fpeople-you-may-know-facebook-creepy%2F&h=ATO0J6D8bae3PIWrvF9e6HPXlKmhYh7iXUK7Fgy1WXqUfi9bnqCsgkX2gMS-RPoRBH41jlDY3J_6M6QmYUsDR7FgA1wlBM_bnzRo-IE-flH,,,,,,,,
5/15/2018 10:04,0,Top Trends,3,Air France-KLM names interim leaders after…,phys.org,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fphys.org%2Fnews%2F2018-05-air-france-klm-interim-leaders-ceo.html&h=ATND9VcmxrRt_lO5ma89lFywLu7CeFpWdcBYLztZYT8L1banmbF_oQlW4so4kzbQa9q_EOBtFxwObIbeawwFONYIrOBuq3a_TlILLgzrfC5VxxI7,,,,,,,,
5/15/2018 10:04,0,Top Trends,4,Astronomers find fastest-growing black hole known…,phys.org,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fphys.org%2Fnews%2F2018-05-astronomers-fastest-growing-black-hole-space.html&h=ATPtGdug3J_CpulhrnL5uLmxi1U62m-QFN4Ce1nIxjOoV_zJSSnpnJ3iQZKiGVMMkWRuH9MkKrHTYhQgglcbWUCbG80AZfUSMhgwp0,,,,,,,,
5/15/2018 10:04,0,Top Trends,5,"Facebook Removed 583 Million Fake Accounts,…",Bloomberg,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.bloomberg.com%2Fnews%2Farticles%2F2018-05-15%2Ffacebook-removed-583-million-fake-accounts-enforcing-standards&h=ATNvhW4g57CRmIktyYx5FyN2lM3qTFY65Jzo8JJwysNkHhajyqpzcODGBPkznk4w,,,,,,,,
5/15/2018 10:04,0,Top Trends,8,Australian astronomers find a cosmic 'monster' that's…,www.brisbanetimes.com.au,None,None,None,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brisbanetimes.com.au%2Ftechnology%2Faustralian-astronomers-find-a-cosmic-monster-that-s-growing-fast-20180515-p4zfdv.html&h=ATPLHeauJBfJW8i00n9SI33wpgpv2zxLoHNG1sFjGOrQvRnTc4hl,,,,,,,,
