type,title,description,source,rank,scrapeid,timestamp,uniquelink
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=10&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,10,33,5/10/2018 15:24,thehill.com
Top Trends,Google Assistant,"Google's new Duplex personal assistant sounds human, but it's not",https://www.facebook.com/topic/Google-Assistant/412198698862630?source=whrt&position=4&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,4,33,5/10/2018 15:24,msn.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=5&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,5,33,5/10/2018 15:24,cnbc.com
Top Trends,H.R. McMaster,Nurse charged in death of H.R. McMaster's father,https://www.facebook.com/topic/HR-McMaster/108218175866737?source=whfrt&position=2&trqid=6554050847745145369&impressionguid=0Uq0DQ6EAtZeAKFOf,2,33,5/10/2018 15:24,foxnews.com
Top Trends,Klout,"Klout, the $200 million website that measured how…",https://www.facebook.com/topic/Klout/169468886431948?source=whfrt&position=3&trqid=6554050847745145369&impressionguid=0Uq0DQ6EAtZeAKFOf,3,33,5/10/2018 15:24,businessinsider.com
Top Trends,"Mendocino County, California",More remains found near the Hart family crash site,https://www.facebook.com/topic/Mendocino-County-California/106040952761042?source=whfrt&position=1&trqid=6554050847745145369&impressionguid=0Uq0DQ6EAtZeAKFOf,1,33,5/10/2018 15:24,koin.com
Top Trends,Mike Pence,Pence: Time to 'wrap up' Russia probe,https://www.facebook.com/topic/Mike-Pence/109603789065869?source=whrt&position=6&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,6,33,5/10/2018 15:24,bbc.com
Top Trends,Rudy Giuliani,Giuliani resigns from law firm due to 'pressing demands' of Mueller probe,https://www.facebook.com/topic/Rudy-Giuliani/105611002805494?source=whrt&position=9&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,9,33,5/10/2018 15:24,thehill.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whrt&position=8&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,8,33,5/10/2018 15:24,thehill.com
Top Trends,US Department of Defense,Report finds multiple failures leading to Niger attack,https://www.facebook.com/topic/US-Department-of-Defense/112225892126782?source=whrt&position=7&trqid=6554050852047109350&impressionguid=0Uq0DQ6EAtZeAKFOf,7,33,5/10/2018 15:24,yahoo.com
Top Trends,Baltimore,Baltimore Police Chief Darryl De Sousa charged with failing to…,https://www.facebook.com/topic/Baltimore/103147006392015?source=whfrt&position=3&trqid=6554053424584105297&impressionguid=0T8qzo4fbk3d9KqM0,3,34,5/10/2018 15:34,baltimoresun.com
Top Trends,Google Assistant,"Google's new Duplex personal assistant sounds human, but it's not",https://www.facebook.com/topic/Google-Assistant/412198698862630?source=whrt&position=5&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,5,34,5/10/2018 15:34,msn.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=6&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,6,34,5/10/2018 15:34,cnbc.com
Top Trends,H.R. McMaster,Nurse charged in death of H.R. McMaster's father,https://www.facebook.com/topic/HR-McMaster/108218175866737?source=whrt&position=4&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,4,34,5/10/2018 15:34,foxnews.com
Top Trends,Klout,"Klout, the $200 million website that measured how…",https://www.facebook.com/topic/Klout/169468886431948?source=whfrt&position=2&trqid=6554053424584105297&impressionguid=0T8qzo4fbk3d9KqM0,2,34,5/10/2018 15:34,businessinsider.com
Top Trends,"Mendocino County, California",More remains found near the Hart family crash site,https://www.facebook.com/topic/Mendocino-County-California/106040952761042?source=whfrt&position=1&trqid=6554053424584105297&impressionguid=0T8qzo4fbk3d9KqM0,1,34,5/10/2018 15:34,koin.com
Top Trends,Mike Pence,Pence: Time to 'wrap up' Russia probe,https://www.facebook.com/topic/Mike-Pence/109603789065869?source=whrt&position=7&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,7,34,5/10/2018 15:34,bbc.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whrt&position=9&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,9,34,5/10/2018 15:34,thehill.com
Top Trends,US Department of Defense,Report finds multiple failures leading to Niger attack,https://www.facebook.com/topic/US-Department-of-Defense/112225892126782?source=whrt&position=8&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,8,34,5/10/2018 15:34,yahoo.com
Top Trends,William Beaumont Army Medical Center,Doctors Grow New Ear Grown on Soldier's Forearm,https://www.facebook.com/topic/William-Beaumont-Army-Medical-Center/109287569089542?source=whrt&position=10&trqid=6554053433168540287&impressionguid=0T8qzo4fbk3d9KqM0,10,34,5/10/2018 15:34,msn.com
Top Trends,Australian Broadcasting Corporation,Expert claims parents should ask babies consent before changing their nappies,https://www.facebook.com/topic/Australian-Broadcasting-Corporation/110264702329659?source=whrt&position=10&trqid=6554056010105621198&impressionguid=0zJyVKjlGXQju5JtJ,10,35,5/10/2018 15:44,msn.com
Top Trends,Baltimore,Baltimore police commissioner accused of failing to file taxes,https://www.facebook.com/topic/Baltimore/103147006392015?source=whrt&position=4&trqid=6554056010105621198&impressionguid=0zJyVKjlGXQju5JtJ,4,35,5/10/2018 15:44,foxnews.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=5&trqid=6554056010105621198&impressionguid=0zJyVKjlGXQju5JtJ,5,35,5/10/2018 15:44,cnbc.com
