Category,Title,Description,TrendLink,Ranking,ScrapeID,TS,Source
Top Trends,Brooklyn Nine-Nine,Brooklyn Nine-Nine saved after outcry,https://www.facebook.com/topic/Brooklyn-Nine-Nine/505390409540531?source=whrt&position=5&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,5,2,5/12/2018 15:19,bbc.com
Top Trends,"Oakland, California",White woman calls police on black family during barbecuing for “trespassing”,https://www.facebook.com/topic/Oakland-California/108363292521622?source=whrt&position=6&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,6,2,5/12/2018 15:19,salon.com
Top Trends,Israel–Gaza Barrier,Israel closes Gaza border crossing damaged by Palestinians,https://www.facebook.com/topic/IsraelGaza-Barrier/143286939022003?source=whrt&position=7&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,7,2,5/12/2018 15:19,reuters.com
Top Trends,Rose Acre Farms,"Salmonella Outbreak, Eggs, And Rose Acre Farms: What You Need To Know",https://www.facebook.com/topic/Rose-Acre-Farms/103125019727168?source=whrt&position=8&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,8,2,5/12/2018 15:19,forbes.com
Top Trends,Narendra Modi,Polls suggest Modi's BJP may be leading party in India's Karnataka,https://www.facebook.com/topic/Narendra-Modi/108606272497562?source=whrt&position=9&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,9,2,5/12/2018 15:19,reuters.com
Top Trends,North American Aerospace Defense Command,US Air Force jets intercept 2 Russian bombers off Alaska coast,https://www.facebook.com/topic/North-American-Aerospace-Defense-Command/135415036493357?source=whrt&position=10&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,10,2,5/12/2018 15:19,foxnews.com
Politics,Joe Donnelly,Donnelly announces support for Trump's CIA pick Gina Haspel,https://www.facebook.com/topic/Joe-Donnelly/107799802575988?source=whfrt&position=1001&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,1,2,5/12/2018 15:19,thehill.com
Politics,Rudy Giuliani,Rudy Giuliani says Trump 'denied' AT&T merger,https://www.facebook.com/topic/Rudy-Giuliani/105619959472103?source=whfrt&position=1002&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,2,2,5/12/2018 15:19,msn.com
Politics,Hawaii,Trump declares a major disaster in Hawaii after volcanic eruptions and lava,https://www.facebook.com/topic/Hawaii/108131545882056?source=whfrt&position=1003&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,3,2,5/12/2018 15:19,cnn.com
Politics,Nawaz Sharif,Ex-Pakistan PM Nawaz Sharif admits his nation could have…,https://www.facebook.com/topic/Nawaz-Sharif/1469808086567736?source=whfrt&position=1004&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,4,2,5/12/2018 15:19,in.news.yahoo.com
