Sports,David Wise and Alex Ferreira,Wise enough to win: U.S. skier defends gold,espn.com,https://www.facebook.com/topic/David-Wise-and-Alex-Ferreira/1408102556158473?source=whfrt&position=4004&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,4,0,Thu Feb 22 15:16:13 2018
Sports,Lindsey Vonn,Lindsey Vonn shares pic showing skis burned out on bronze medal run,msn.com,https://www.facebook.com/topic/Lindsey-Vonn/109658955719313?source=whfrt&position=4005&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,5,0,Thu Feb 22 15:16:13 2018
Sports,Tiger Woods,Tiger Tracker: Tiger Woods (-1) near lead at Honda Classic,msn.com,https://www.facebook.com/topic/Tiger-Woods/104052289630039?source=whfrt&position=4006&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,6,0,Thu Feb 22 15:16:13 2018
Sports,Jamie Anderson,"Winter Olympics 2018: USA's David Wise wins gold, Alex Ferreira…",cbssports.com,https://www.facebook.com/topic/Jamie-Anderson/107496599279538?source=whfrt&position=4007&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,7,0,Thu Feb 22 15:16:13 2018
Sports,Alabama vs. Auburn,Auburn basketball: Mustapha Heron ruled out for Alabama game,seccountry.com,https://www.facebook.com/topic/Alabama-vs-Auburn/136204476410279?source=whfrt&position=4008&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,8,0,Thu Feb 22 15:16:13 2018
Sports,LeBron James,LeBron James Says He's Against Changing the NBA…,bleacherreport.com,https://www.facebook.com/topic/LeBron-James/107839129239139?source=whfrt&position=4009&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,9,0,Thu Feb 22 15:16:13 2018
Sports,2026 FIFA World Cup,Senators write letter to Trump calling for bid to host World Cup,thehill.com,https://www.facebook.com/topic/2026-FIFA-World-Cup/119583224755273?source=whfrt&position=4010&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,10,0,Thu Feb 22 15:16:13 2018
Entertainment,McDonald's,McDonald's is bringing back a sauce that led to riots,msn.com,https://www.facebook.com/topic/McDonalds/115641475116104?source=whfrt&position=5001&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,1,0,Thu Feb 22 15:16:14 2018
Entertainment,Quincy Jones,Quincy Jones Apologizes For Giving Best Interviews Of The Year,huffingtonpost.com,https://www.facebook.com/topic/Quincy-Jones/105597289474005?source=whfrt&position=5002&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,2,0,Thu Feb 22 15:16:14 2018
Entertainment,Amy Poehler,Amy Poehler tells the NRA what they can do with their Leslie Knope…,usatoday.com,https://www.facebook.com/topic/Amy-Poehler/112295982115984?source=whfrt&position=5003&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,3,0,Thu Feb 22 15:16:14 2018
Entertainment,Janelle Monáe,Janelle Monae Previews Third LP 'Dirty Computer' With Two…,rollingstone.com,https://www.facebook.com/topic/Janelle-Mon%C3%A1e/114502738565875?source=whfrt&position=5004&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,4,0,Thu Feb 22 15:16:14 2018
Entertainment,Jimmy Kimmel,"Kimmel Slams Donald Trump Jr., Conspiracy Theorists for…",msn.com,https://www.facebook.com/topic/Jimmy-Kimmel/1094746700556244?source=whfrt&position=5005&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,5,0,Thu Feb 22 15:16:14 2018
Entertainment,Wakanda,This Airport Is Now Offering Nonstop Flights to the Kingdom of…,msn.com,https://www.facebook.com/topic/Wakanda/126173240759243?source=whfrt&position=5006&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,6,0,Thu Feb 22 15:16:14 2018
