type,title,description,source,trendlink,rank,scrapeid,timestamp
Sports,New York Yankees vs. Boston Red Sox,The Yankees-Red Sox rivalry is back: The Red Sox perspective,sbnation.com,https://www.facebook.com/topic/New-York-Yankees-vs-Boston-Red-Sox/113224035357723?source=whfrt&position=4003&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,3,0,2018-05-08T19:09:47.676973
Sports,Dana White,Dana White: UFC Working on Georges St-Pierre vs. Nate Diaz Fight,bleacherreport.com,https://www.facebook.com/topic/Dana-White/107711482584963?source=whfrt&position=4004&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,4,0,2018-05-08T19:09:47.676973
Sports,Roberto Osuna,Blue Jays closer Roberto Osuna charged with assault by Toronto police,msn.com,https://www.facebook.com/topic/Roberto-Osuna/112394542107177?source=whfrt&position=4005&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,5,0,2018-05-08T19:09:47.676973
Sports,ESPN+,"UFC, ESPN+ reach multiyear deal for live fights",espn.com,https://www.facebook.com/topic/ESPN/106094522755603?source=whfrt&position=4006&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,6,0,2018-05-08T19:09:47.676973
Sports,Mark Ingram Jr.,"Mark Ingram suspended, Saints leading rusher out first four games of 2018 season",cbssports.com,https://www.facebook.com/topic/Mark-Ingram-Jr/220383794673142?source=whfrt&position=4007&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,7,0,2018-05-08T19:09:47.676973
Sports,Toronto Raptors vs. Cleveland Cavaliers,"2018 NBA Playoffs: Raptors vs. Cavaliers live scores, Game 4 updates, highlights, schedule and analysis",cbssports.com,https://www.facebook.com/topic/Toronto-Raptors-vs-Cleveland-Cavaliers/113209985359330?source=whfrt&position=4008&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,8,0,2018-05-08T19:09:47.676973
Sports,Johnny Manziel,Johnny Manziel Hospitalized After Reaction to Medication,bleacherreport.com,https://www.facebook.com/topic/Johnny-Manziel/109430072417331?source=whfrt&position=4009&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,9,0,2018-05-08T19:09:47.676973
Sports,Kurt Warner,Warner talked to NFL coach about playing in 2018,msn.com,https://www.facebook.com/topic/Kurt-Warner/104116819624590?source=whfrt&position=4010&trqid=6553366629594566323&impressionguid=0Tee56VdWQdkZJC4e,10,0,2018-05-08T19:09:47.676973
Entertainment,Bill & Ted,Keanu Reeves and Alex Winter Reteaming for 'Bill & Ted 3',hollywoodreporter.com,https://www.facebook.com/topic/Bill-Ted/106012472763750?source=whfrt&position=5001&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,1,0,2018-05-08T19:09:51.930974
Entertainment,Katy Perry,Katy Perry Sends Taylor Swift an ‘Actual’ Olive Branch,usmagazine.com,https://www.facebook.com/topic/Katy-Perry/109476712412903?source=whfrt&position=5002&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,2,0,2018-05-08T19:09:51.930974
