Type,Title,Description,Source,Unique Link,Rank,Scrape Id,Timestamp
Sports,Curling at the 2018 Winter Olympics,Curling controversy as Britain lose out to Sweden in…,theguardian.com,https://www.facebook.com/topic/Curling-at-the-2018-Winter-Olympics/109621989064257?source=whfrt&position=4008&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,8,0,Sun Feb 18 13:53:45 2018
Sports,Devante Smith-Pelly,Chicago fans ejected after heckling Capitals' Devante…,sportingnews.com,https://www.facebook.com/topic/Devante-Smith-Pelly/222823074442892?source=whfrt&position=4009&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,9,0,Sun Feb 18 13:53:45 2018
Sports,Leeds United vs. Bristol City,Championship (Sky Sports),skysports.com,https://www.facebook.com/topic/Leeds-United-vs-Bristol-City/107935842568475?source=whfrt&position=4010&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,10,0,Sun Feb 18 13:53:45 2018
Entertainment,Black Panther,"""Black Panther"" Is An Unprecedented Box Office Sensation",buzzfeed.com,https://www.facebook.com/topic/Black-Panther/137025309650379?source=whfrt&position=5001&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,1,0,Sun Feb 18 13:53:47 2018
Entertainment,Drake,Drake donates $1M in 'God's Plan' music video - CNN Video,cnn.com,https://www.facebook.com/topic/Drake/110970792260960?source=whfrt&position=5002&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,2,0,Sun Feb 18 13:53:47 2018
Entertainment,Emma Watson,Emma Watson makes million pound donation to new fund,irishexaminer.com,https://www.facebook.com/topic/Emma-Watson/111653195517462?source=whfrt&position=5003&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,3,0,Sun Feb 18 13:53:47 2018
Entertainment,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=5004&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,4,0,Sun Feb 18 13:53:47 2018
Entertainment,Kanye West,Watch Kanye West Make Rare Onstage Appearance at Kid Cudi…,rollingstone.com,https://www.facebook.com/topic/Kanye-West/1728443174058644?source=whfrt&position=5005&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,5,0,Sun Feb 18 13:53:47 2018
Entertainment,Charlyne Yi,Charlyne Yi Says Marilyn Manson Harassed ‘Every Woman’…,vulture.com,https://www.facebook.com/topic/Charlyne-Yi/103991622971087?source=whfrt&position=5006&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,6,0,Sun Feb 18 13:53:47 2018
Entertainment,The Weinstein Company,The Weinstein Co. fires David Glasser as president 'for cause',msn.com,https://www.facebook.com/topic/The-Weinstein-Company/108486415840199?source=whfrt&position=5007&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,7,0,Sun Feb 18 13:53:47 2018
Entertainment,Marilyn Manson,Marilyn Manson Melts Down Onstage in Weird Freestyle Blues Jam,yahoo.com,https://www.facebook.com/topic/Marilyn-Manson/104096482961097?source=whfrt&position=5008&trqid=6523984968517951169&impressionguid=0nbFfRDr9AKJHitNr,8,0,Sun Feb 18 13:53:47 2018
Top Trends,Tim Tebow,Mets GM thinks Tim Tebow will play in the major leagues,sports.yahoo.com,https://www.facebook.com/topic/Tim-Tebow/132898096748505?source=whfrt&position=1&trqid=6523985475314476967&impressionguid=0qZ720rQZOE8yY39J,1,1,Sun Feb 18 13:55:43 2018
Top Trends,West Midlands Ambulance Service,'Move your van' note left on ambulance,bbc.com,https://www.facebook.com/topic/West-Midlands-Ambulance-Service/102654829788990?source=whfrt&position=2&trqid=6523985475314476967&impressionguid=0qZ720rQZOE8yY39J,2,1,Sun Feb 18 13:55:43 2018
Top Trends,Stoneman Douglas High School Shooting,Florida students turn to activism in wake of shooting,thehill.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=3&trqid=6523985475314476967&impressionguid=0qZ720rQZOE8yY39J,3,1,Sun Feb 18 13:55:43 2018
Top Trends,Donald Trump,Trump Blames Obama and Democrats for Failing to Stop Russian…,nytimes.com,https://www.facebook.com/topic/Donald-Trump/109487239076779?source=whrt&position=4&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,4,1,Sun Feb 18 13:55:43 2018
Top Trends,Iran Aseman Airlines,"Passenger plane crashes in Iran with 66 aboard, report says",cnn.com,https://www.facebook.com/topic/Iran-Aseman-Airlines/111994085484764?source=whrt&position=5&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,5,1,Sun Feb 18 13:55:43 2018
Top Trends,Black Panther,"""Black Panther"" Is An Unprecedented Box Office Sensation",buzzfeed.com,https://www.facebook.com/topic/Black-Panther/137025309650379?source=whrt&position=6&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,6,1,Sun Feb 18 13:55:43 2018
Top Trends,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whrt&position=7&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,7,1,Sun Feb 18 13:55:43 2018
Top Trends,George Christensen,George Christensen reported to police over gun photo aimed at…,msn.com,https://www.facebook.com/topic/George-Christensen/114776845205424?source=whrt&position=8&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,8,1,Sun Feb 18 13:55:43 2018
Top Trends,FBI,"Trump blasts FBI over school shooting, says ""too much time"" on…",nbcnews.com,https://www.facebook.com/topic/FBI/109603789065869?source=whrt&position=9&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,9,1,Sun Feb 18 13:55:43 2018
Top Trends,Ilmārs Rimšēvičs,Latvia's central bank governor Rimsevics detained,in.reuters.com,https://www.facebook.com/topic/Ilm%C4%81rs-Rim%C5%A1%C4%93vi%C4%8Ds/213232888689854?source=whrt&position=10&trqid=6523985488248658033&impressionguid=0qZ720rQZOE8yY39J,10,1,Sun Feb 18 13:55:43 2018
Politics,Stoneman Douglas High School Shooting,Florida students turn to activism in wake of shooting,thehill.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=1001&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,1,1,Sun Feb 18 13:55:44 2018
Politics,Donald Trump,Trump Blames Obama and Democrats for Failing to Stop Russian Meddling,nytimes.com,https://www.facebook.com/topic/Donald-Trump/109487239076779?source=whfrt&position=1002&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,2,1,Sun Feb 18 13:55:44 2018
Politics,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whfrt&position=1003&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,3,1,Sun Feb 18 13:55:44 2018
Politics,George Christensen,George Christensen reported to police over gun photo aimed at 'greenie' rivals,msn.com,https://www.facebook.com/topic/George-Christensen/114776845205424?source=whfrt&position=1004&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,4,1,Sun Feb 18 13:55:44 2018
Politics,FBI,"Trump blasts FBI over school shooting, says ""too much time"" on Russia",nbcnews.com,https://www.facebook.com/topic/FBI/109603789065869?source=whfrt&position=1005&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,5,1,Sun Feb 18 13:55:44 2018
Politics,Ilmārs Rimšēvičs,Latvia's central bank governor Rimsevics detained,in.reuters.com,https://www.facebook.com/topic/Ilm%C4%81rs-Rim%C5%A1%C4%93vi%C4%8Ds/213232888689854?source=whfrt&position=1006&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,6,1,Sun Feb 18 13:55:44 2018
Politics,Al Hoffman Jr.,Prominent Republican Donor Issues Ultimatum on Assault Weapons,msn.com,https://www.facebook.com/topic/Al-Hoffman-Jr/908310812597253?source=whfrt&position=1007&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,7,1,Sun Feb 18 13:55:44 2018
Politics,Israel–Gaza Barrier,4 Soldiers Wounded in Gaza Border Explosion,time.com,https://www.facebook.com/topic/IsraelGaza-Barrier/106052392759730?source=whfrt&position=1008&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,8,1,Sun Feb 18 13:55:44 2018
Politics,Viktor Orbán,Orbán claims Hungary is last bastion against 'Islamisation' of Europe,theguardian.com,https://www.facebook.com/topic/Viktor-Orb%C3%A1n/106502519386806?source=whfrt&position=1009&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,9,1,Sun Feb 18 13:55:44 2018
Politics,Malcolm Turnbull,Australia's PM in damage control as scandal undermines deputy,reuters.com,https://www.facebook.com/topic/Malcolm-Turnbull/108005782560850?source=whfrt&position=1010&trqid=6523985479506122430&impressionguid=0vBb8uWIn2Sawqcbm,10,1,Sun Feb 18 13:55:44 2018
Science and Technology,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=3001&trqid=6523985483777259373&impressionguid=0nyfO6YwoK6oohVG9,1,1,Sun Feb 18 13:55:45 2018
Science and Technology,SpaceX,SpaceX 's next salvo in the space wars: Launching test satellites to…,cnbc.com,https://www.facebook.com/topic/SpaceX/105652159469464?source=whfrt&position=3002&trqid=6523985483777259373&impressionguid=0nyfO6YwoK6oohVG9,2,1,Sun Feb 18 13:55:45 2018
Sports,Tim Tebow,Mets GM thinks Tim Tebow will play in the major leagues,sports.yahoo.com,https://www.facebook.com/topic/Tim-Tebow/132898096748505?source=whfrt&position=4001&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,1,1,Sun Feb 18 13:55:46 2018
Sports,Daytona 500,NASCAR Daytona 500 2018: Key information for 'The Great…,usatoday.com,https://www.facebook.com/topic/Daytona-500/106231196074269?source=whfrt&position=4002&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,2,1,Sun Feb 18 13:55:46 2018
Sports,Alexander Krushelnitskiy,Russian medalist at Games suspected of doping: source,msn.com,https://www.facebook.com/topic/Alexander-Krushelnitskiy/115040395176915?source=whfrt&position=4003&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,3,1,Sun Feb 18 13:55:46 2018
Sports,Nick Goepper,Nick Goepper goes from contemplating suicide to Olympic…,sports.yahoo.com,https://www.facebook.com/topic/Nick-Goepper/108320679192714?source=whfrt&position=4004&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,4,1,Sun Feb 18 13:55:46 2018
Sports,Eric Hosmer,"Sources: Padres, 1B Eric Hosmer agree to deal",espn.com,https://www.facebook.com/topic/Eric-Hosmer/108110439216353?source=whfrt&position=4005&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,5,1,Sun Feb 18 13:55:46 2018
Sports,Marcel Hirscher,Olympic Men's Alpine Skiing Results 2018: Marcel Hirscher…,bleacherreport.com,https://www.facebook.com/topic/Marcel-Hirscher/107614182595466?source=whfrt&position=4006&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,6,1,Sun Feb 18 13:55:46 2018
Sports,Donovan Mitchell,Donovan Mitchell Wins 2018 NBA Slam Dunk Contest: Full…,bleacherreport.com,https://www.facebook.com/topic/Donovan-Mitchell/107009519335887?source=whfrt&position=4007&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,7,1,Sun Feb 18 13:55:46 2018
Sports,Curling at the 2018 Winter Olympics,Curling controversy as Britain lose out to Sweden in…,theguardian.com,https://www.facebook.com/topic/Curling-at-the-2018-Winter-Olympics/109621989064257?source=whfrt&position=4008&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,8,1,Sun Feb 18 13:55:46 2018
Sports,Devante Smith-Pelly,Chicago fans ejected after heckling Capitals' Devante…,sportingnews.com,https://www.facebook.com/topic/Devante-Smith-Pelly/222823074442892?source=whfrt&position=4009&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,9,1,Sun Feb 18 13:55:46 2018
Sports,Leeds United vs. Bristol City,Championship (Sky Sports),skysports.com,https://www.facebook.com/topic/Leeds-United-vs-Bristol-City/107935842568475?source=whfrt&position=4010&trqid=6523985483918646990&impressionguid=0cxZdxfxL3PIfRFq0,10,1,Sun Feb 18 13:55:46 2018
Entertainment,Black Panther,"""Black Panther"" Is An Unprecedented Box Office Sensation",buzzfeed.com,https://www.facebook.com/topic/Black-Panther/137025309650379?source=whfrt&position=5001&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,1,1,Sun Feb 18 13:55:48 2018
Entertainment,Drake,Drake donates $1M in 'God's Plan' music video - CNN Video,cnn.com,https://www.facebook.com/topic/Drake/110970792260960?source=whfrt&position=5002&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,2,1,Sun Feb 18 13:55:48 2018
Entertainment,Emma Watson,Emma Watson makes million pound donation to new fund,irishexaminer.com,https://www.facebook.com/topic/Emma-Watson/111653195517462?source=whfrt&position=5003&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,3,1,Sun Feb 18 13:55:48 2018
Entertainment,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=5004&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,4,1,Sun Feb 18 13:55:48 2018
Entertainment,Kanye West,Watch Kanye West Make Rare Onstage Appearance at Kid Cudi…,rollingstone.com,https://www.facebook.com/topic/Kanye-West/1728443174058644?source=whfrt&position=5005&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,5,1,Sun Feb 18 13:55:48 2018
Entertainment,Charlyne Yi,Charlyne Yi Says Marilyn Manson Harassed ‘Every Woman’…,vulture.com,https://www.facebook.com/topic/Charlyne-Yi/103991622971087?source=whfrt&position=5006&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,6,1,Sun Feb 18 13:55:48 2018
Entertainment,The Weinstein Company,The Weinstein Co. fires David Glasser as president 'for cause',msn.com,https://www.facebook.com/topic/The-Weinstein-Company/108486415840199?source=whfrt&position=5007&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,7,1,Sun Feb 18 13:55:48 2018
Entertainment,Marilyn Manson,Marilyn Manson Melts Down Onstage in Weird Freestyle Blues Jam,yahoo.com,https://www.facebook.com/topic/Marilyn-Manson/104096482961097?source=whfrt&position=5008&trqid=6523985483995137945&impressionguid=007ThcnYdzNDEACGR,8,1,Sun Feb 18 13:55:48 2018
Top Trends,Tim Tebow,Mets GM thinks Tim Tebow will play in the major leagues,sports.yahoo.com,https://www.facebook.com/topic/Tim-Tebow/132898096748505?source=whfrt&position=1&trqid=6523986506129373140&impressionguid=0B42W9JAnCDlYL6RZ,1,2,Sun Feb 18 13:59:43 2018
